,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_Polarizability,formulaB_elements_Polarizability,avg_elements_AtomicVolume,diff_elements_AtomicVolume,avg_elements_AtomicWeight,diff_elements_AtomicWeight,avg_elements_BoilingT,diff_elements_BoilingT,avg_elements_BulkModulus,diff_elements_BulkModulus,avg_elements_Column,diff_elements_Column,avg_elements_CovalentRadius,diff_elements_CovalentRadius,avg_elements_Density,diff_elements_Density,avg_elements_ElectronSurfaceDensityWS,diff_elements_ElectronSurfaceDensityWS,avg_elements_Electronegativity,diff_elements_Electronegativity,avg_elements_FirstIonizationEnergy,diff_elements_FirstIonizationEnergy,avg_elements_GSbandgap,diff_elements_GSbandgap,avg_elements_GSenergy_pa,diff_elements_GSenergy_pa,avg_elements_GSestBCClatcnt,diff_elements_GSestBCClatcnt,avg_elements_GSestFCClatcnt,diff_elements_GSestFCClatcnt,avg_elements_GSvolume_pa,diff_elements_GSvolume_pa,avg_elements_HHIp,diff_elements_HHIp,avg_elements_HHIr,diff_elements_HHIr,avg_elements_HeatCapacityMass,diff_elements_HeatCapacityMass,avg_elements_HeatCapacityMolar,diff_elements_HeatCapacityMolar,avg_elements_HeatFusion,diff_elements_HeatFusion,avg_elements_ICSDVolume,diff_elements_ICSDVolume,avg_elements_MeltingT,diff_elements_MeltingT,avg_elements_MendeleevNumber,diff_elements_MendeleevNumber,avg_elements_MiracleRadius,diff_elements_MiracleRadius,avg_elements_NUnfilled,diff_elements_NUnfilled,avg_elements_NValance,diff_elements_NValance,avg_elements_NdValence,diff_elements_NdValence,avg_elements_Number,diff_elements_Number,avg_elements_Polarizability,diff_elements_Polarizability,avg_elements_ShearModulus,diff_elements_ShearModulus
0,0.0,100.0,215,145,0.0,1.36,5.17,7.576230000000001,-4.1050022980000005,-2.76539356,0.12,0.235,12.0,11.3,14,65,32.1,6.99,27.254367124999995,20.357438349999992,167.4341,119.1318,2954.0,1038.0,50.0,-100.0,7.0,-8,180.0,70,10280.0,-420.0,0.68,-1.36,1.5150000000000001,-0.8299999999999998,6.373115,-2.4062300000000008,0.0,0.0,-3.435197929,-1.3396087380000004,3.8308218050000002,1.2686825979999998,4.82653303,1.5984399120000008,30.42125,28.182500000000005,600.0,-1200,700.0,-1400,0.1775,-0.11499999999999999,26.275,1.8499999999999979,11.65,0.6999999999999993,27.25,20.400000000000002,1278.9650000000001,88.06999999999994,39.5,-51,72.0,-144,5.0,8,7.0,-8,5.5,-9,68.0,42,19.545,25.11,15.0,-30.0
1,0.0,76.0,215,121,0.0,1.39,5.17,5.985768,-4.1050022980000005,-3.74542312,0.12,0.897,12.0,10.71,14,73,32.1,6.8,27.013755409999995,20.838661779999992,126.9907693,200.0184614,3132.5,681.0,38.0,-76.0,8.0,-10,168.0,94,6385.0,7370.0,0.695,-1.39,1.355,-0.51,5.577884,-0.8157680000000003,0.0,0.0,-3.925212709,-0.3595791780000006,3.8357004685000002,1.2589252709999998,4.832679761,1.5861464500000002,30.496250000000003,28.032500000000002,800.0,-1600,500.0,-1000,0.5085,-0.777,25.7,3.0,11.355,1.2899999999999991,27.03,20.840000000000003,1128.2350000000001,389.53,43.5,-59,70.5,-141,7.0,4,3.0,0,0.5,1,51.0,76,19.45,25.3,13.0,-26.0
2,0.0,22.0,215,119,0.0,1.44,5.17,9.7886,-4.1050022980000005,-4.650889115,0.12,0.32899999999999996,12.0,24.44,14,84,32.1,4.31,29.578526019999998,15.709120559999992,150.9608,152.0784,2180.0,2586.0,11.0,-22.0,9.0,-12,167.0,96,7898.5,4343.0,0.72,-1.44,1.6400000000000001,-1.08,7.4793,-4.618600000000001,0.0,0.0,-4.3779457065,0.5458868169999995,4.00242375,0.925478708,5.0427379335,1.166030105,33.34375,22.337500000000002,1650.0,-3300,2000.0,-4000,0.22449999999999998,-0.20899999999999996,25.92,2.5599999999999987,18.22,-12.440000000000001,29.485,15.930000000000003,1206.5,233.0,49.0,-70,57.5,-115,6.0,6,9.0,-12,5.5,-9,61.0,56,18.205000000000002,27.790000000000003,0.0,0.0
3,0.0,9.6,215,215,0.0,0.81,5.17,5.211664,-4.1050022980000005,-1.92352226,0.12,0.204,12.0,7.12,14,9,32.1,39.7,51.201183985,-27.53619537000001,182.1635,89.673,2808.0,1330.0,4.8,-9.6,2.5,1,215.0,0,6790.0,6560.0,0.405,-0.81,0.9950000000000001,0.21000000000000008,5.190832,-0.04166399999999992,0.0,0.0,-3.0142622790000004,-2.1814800380000006,4.7470312075,-0.5637362069999998,5.980884543,-0.7102631139999991,54.05125,-19.0775,1500.0,-3000,1150.0,-2300,0.16199999999999998,-0.08399999999999999,27.634999999999998,-0.870000000000001,9.56,4.88,50.165000000000006,-25.43,1161.5,323.0,11.5,5,111.5,-223,4.5,9,2.5,1,0.5,1,72.5,33,35.900000000000006,-7.600000000000001,2.45,-4.9
4,0.0,31.0,215,148,0.0,1.16,5.17,7.2855,-4.1050022980000005,-3.9736943999999994,0.12,0.122,12.0,11.106,14,86,32.1,0.4,36.45827269,1.9496272199999893,217.99020000000002,18.019599999999997,2655.0,1636.0,15.5,-31.0,9.0,-12,181.5,67,9925.0,290.0,0.58,-1.16,1.56,-0.9199999999999999,6.22775,-2.1155,0.0,0.0,-4.039348349,-0.1313078980000011,4.2521805315000005,0.42596514500000016,5.3574117595,0.5366824530000001,38.73125,11.5625,2650.0,-5300,3000.0,-6000,0.121,-0.0020000000000000018,26.36,1.6799999999999997,11.553,0.8940000000000001,36.415000000000006,2.0700000000000003,933.7,778.6,50.0,-72,81.0,-162,6.0,6,16.0,-26,5.5,-9,86.0,6,16.25,31.700000000000003,6.0,-12.0
5,0.0,1.9,215,120,0.0,0.0,5.17,11.8138,-4.1050022980000005,-1.5830253380000001,0.12,0.474,12.0,5.285,14,95,32.1,3.05,39.980455809999995,-5.094739020000006,153.452,147.096,1902.5,3141.0,0.95,-1.9,10.0,-14,167.5,95,6595.0,6950.0,0.0,0.0,2.0300000000000002,-1.8599999999999999,8.491900000000001,-6.643800000000001,0.7284999999999999,-1.4569999999999999,-2.8440138180000005,-2.5219769600000004,4.178639774,0.5730466600000006,5.264756211,0.7219935499999997,36.99625,15.032500000000002,1650.0,-3300,3450.0,-6900,0.297,-0.354,51.445,-48.489999999999995,8.6425,6.715,51.295,-27.689999999999998,794.4,1057.2,54.5,-81,0.0,0,5.0,8,10.0,-14,5.5,-9,62.0,54,17.575,29.05,0.0,0.0
6,0.0,33.0,215,76,0.0,1.77,5.17,11.2603,-4.1050022980000005,-9.209713655,0.12,0.7090000000000001,12.0,117.4,14,77,32.1,1.67,23.129088007499995,28.60799658499999,119.50534999999999,214.98930000000001,3886.5,-827.0,16.5,-33.0,8.5,-11,145.5,139,6165.0,7810.0,0.885,-1.77,1.825,-1.4499999999999997,8.215150000000001,-6.090300000000001,2.248,-4.496,-6.6573579765,5.104711356999999,3.3539277225,2.222470763,4.2256841375,2.8001376970000003,25.07625,38.8725,250.0,-500,250.0,-500,0.41450000000000004,-0.5890000000000001,17.8585,18.683,64.7,-105.4,21.560000000000002,31.78,2573.0,-2500.0,45.5,-63,38.5,-77,6.5,5,3.5,-1,0.5,1,47.5,83,16.885,30.43,0.0,0.0
7,0.0,17.0,215,176,0.0,0.91,5.17,6.11316,-4.1050022980000005,-1.948329565,0.12,0.647,12.0,8.54,14,7,32.1,25.73333333,40.185136799999995,-5.504101000000006,133.539,186.922,2615.0,1716.0,8.5,-17.0,2.5,1,195.5,39,5810.0,8520.0,0.455,-0.91,1.05,0.10000000000000009,5.641579999999999,-0.9431599999999998,0.0,0.0,-3.0266659315,-2.1566727330000006,4.346211714,0.23790278000000065,5.475883626,0.2997387199999997,41.14125,6.7425,1950.0,-3900,750.0,-1500,0.3835,-0.527,26.564500000000002,1.2709999999999972,10.27,3.460000000000001,40.82,-6.739999999999995,1219.0,208.0,10.5,7,100.5,-201,4.5,9,2.5,1,0.5,1,54.5,69,28.916666665,6.366666670000001,3.7,-7.4
8,0.0,8.3,215,198,0.0,0.88,5.17,5.670380000000001,-4.1050022980000005,-1.82958684,0.12,0.182,12.0,9.21,14,25,32.1,27.7,42.77718933,-10.688206060000006,189.482,75.036,2636.5,1673.0,4.15,-8.3,3.0,0,206.5,17,7657.0,4826.0,0.44,-0.88,1.1425,-0.08499999999999996,5.42019,-0.5003800000000007,0.0,0.0,-2.9672945690000003,-2.2754154580000003,4.3214875215,0.28735116500000046,5.4447330955,0.362039781,40.48625,8.052500000000002,4750.0,-9500,1550.0,-3100,0.151,-0.062,27.43,-0.46000000000000085,10.605,2.789999999999999,42.99,-11.079999999999998,1209.0,228.0,19.5,-11,98.0,-196,8.0,2,6.0,-6,0.5,1,76.0,26,29.9,4.400000000000002,3.95,-7.9
9,0.0,170.0,215,132,0.0,1.77,5.17,7.9024,-4.1050022980000005,-8.28548436,0.12,0.449,12.0,13.81,14,55,32.1,8.4,24.605225634999996,25.65572132999999,141.4225,171.155,3303.5,339.0,85.0,-170.0,5.5,-5,173.5,83,8972.0,2196.0,0.885,-1.77,1.465,-0.73,6.5362,-2.7324,0.0,0.0,-6.195243329,4.180482061999999,3.6220432415,1.6862397250000005,4.563488524,2.1245289240000003,27.621250000000003,33.7825,1200.0,-2400,700.0,-1400,0.2845,-0.329,26.15,2.099999999999998,12.905000000000001,-1.8100000000000005,24.615000000000002,25.67,1567.0,-488.0,34.5,-41,62.5,-125,6.5,5,5.5,-5,3.5,-5,57.5,63,20.25,23.700000000000003,41.0,-82.0
